Hydrogen,1,H,1.01
Helium,2,He,4.00
Lithium,3,Li,6.94
Beryllium,4,Be,9.01
Boron,5,B,10.81
Carbon,6,C,12.01
Nitrogen,7,N,14.01
Oxygen,8,O,16.00
Fluorine,9,F,19.00
Neon,10,Ne,20.18
Sodium,11,Na,22.99
Magnesium,12,Mg,24.31
Aluminum,13,Al,26.98
Silicon,14,Si,28.09
Phosphorus,15,P,30.98
Sulfur,16,S,32.06
Chlorine,17,Cl,35.45
Argon,18,Ar,39.95
Potassium,19,K,39.10
Calcium,20,Ca,40.08
Scandium,21,Sc,44.96
Titanium,22,Ti,47.90
Vanadium,23,V,50.94
Chromium,24,Cr,52.00
Manganese,25,Mn,54.94
Iron,26,Fe,55.85
Cobalt,27,Co,58.93
Nickel,28,Ni,58.71
Copper,29,Cu,63.54
Zinc,30,Zn,65.37
Gallium,31,Ga,69.72
Germanium,32,Ge,72.59
Arsenic,33,As,74.99
Selenium,34,Se,78.96
Bromine,35,Br,79.91
Krypton,36,Kr,83.80
Rubidium,37,Rb,85.47
Strontium,38,Sr,87.62
Yttrium,39,Y,88.91
Zirconium,40,Zr,91.22
Niobium,41,Nb,92.91
Molybdenum,42,Mo,95.94
Technetium,43,Tc,96.91
Ruthenium,44,Ru,101.07
Rhodium,45,Rh,102.90
Palladium,46,Pd,106.40
Silver,47,Ag,107.87
Cadmium,48,Cd,112.40
Indium,49,In,114.82
Tin,50,Sn,118.69
Antimony,51,Sb,121.75
Tellurium,52,Te,127.60
Iodine,53,I,126.90
Xenon,54,Xe,131.30
Cesium,55,Cs,132.90
Barium,56,Ba,137.34
Lanthanum,57,La,138.91
Cerium,58,Ce,140.12
Praseodymium,59,Pr,140.91
Neodymium,60,Nd,144.24
Promethium,61,Pm,144.91
Samarium,62,Sm,150.35
Europium,63,Eu,151.96
Gadolinium,64,Gd,157.25
Terbium,65,Tb,158.92
Dysprosium,66,Dy,162.50
Holmium,67,Ho,164.93
Erbium,68,Er,167.26
Thulium,69,Tm,168.93
Ytterbium,70,Yb,173.04
Lutetium,71,Lu,174.97
Hafnium,72,Hf,178.49
Tantalum,73,Ta,180.95
Wolfram,74,W,183.85
Rhenium,75,Re,186.20
Osmium,76,Os,190.20
Iridium,77,Ir,192.22
Platinum,78,Pt,195.09
Gold,79,Au,196.97
Mercury,80,Hg,200.59
Thallium,81,Tl,204.37
Lead,82,Pb,207.19
Bismuth,83,Bi,208.98
Polonium,84,Po,208.98
Astatine,85,At,209.99
Radon,86,Rn,222.02
Francium,87,Fr,223.02
Radium,88,Ra,226.00
Actinium,89,Ac,227.03
Thorium,90,Th,232.04
Protactinium,91,Pa,231.04
Uranium,92,U,238.03
Neptunium,93,Np,237.00
Plutonium,94,Pu,242.00
Americium,95,Am,243.06
Curium,96,Cm,247.07
Berkelium,97,Bk,247.07
Californium,98,Cf,251.08
Einsteinium,99,Es,254.09
Fermium,100,Fm,257.10
Mendelevium,101,Md,257.10
Nobelium,102,No,255.09
Lawrencium,103,Lr,256.10
